SEX,How many times do you eat a day?,How many hours a day do you sleep?,How many times per week do you eat fastfood?,Average number of steps per day?,Cow's milk,Vegetable drinks (eg soy milk),Low-fat white yogurt,Fresh cheeses,Meat,Processed Meat (es prosciutto),Fish,Eggs,Legumes,Cooked vegetables,Raw vegetables,Fruits,Whole grains food,Nuts,Tofu,Do you eat differently at the weekend?,Do you play a sport (at least 5 hours/week)?,When are you hungry during the day?,What kind of snacks do you prefer?,Do you ever eat distracted or not at the table?,Do you eat fast?,Do you happen to eat uncontrollably even if you're not hungry?,Do you wake up to eat at night?,How do you sleep at night?,"You like salty or sweet? (where 10 - ""I love salt and hate sweet"" and 1 - ""I am the biggest fan of sweet"")",Do you eat alone or togheter?,Age,How many liters of water do you drink per day?,How many times do you consume alcoholic beverages in a week?,How stress affects on your eating habits?,How many sugary drinks do you consume per day?,Do you ever miss meals?
М,1,2-4,0,0-4000,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,"Да, я больше ем дома",Да,Когда я просыпаюсь,У меня нет перекусов в течение дня,Да,Да,Каждый день,Каждый день,Хорошо,1,Часто с кем-то,0-14,0,0,Начинаю есть больше,0,Нет
Ж,3,5-6,1,0-4000,Да,Нет,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Да,Нет,"Да, я ем в ресторанах",Да,Когда я просыпаюсь,"Сладости, Фрукты, овощи",Да,Да,Нечасто (около 1-го раза в месяц),Никогда,Хорошо,4,Часто в одиночестве,15-20,1,1,Начинаю есть меньше,2,"Да, обед, Да, из-за нехватки времени"
Ж,3,5-6,0,7000-10000,Да,Да,Нет,Иногда,Да,Иногда,Да,Да,Да,Да,Да,Да,Да,Да,Иногда,"Да, я ем в ресторанах",Да,"Утром, Днем","Фрукты, овощи, Бутерброды/сэндвичи, Батончики, хлебцы",Да,Да,Нечасто (около 1-го раза в месяц),Никогда,Я просыпаюсь несколько раз за ночь,8,Часто с кем-то,15-20,3,4,Начинаю есть меньше,5,"Да, обед, Да, ужин, Да, из-за нехватки времени"
Ж,3,9-10,3,4000-7000,Нет,Да,Нет,Да,Да,Нет,Да,Да,Иногда,Да,Да,Иногда,Да,Да,Нет,Я готовлю более изысканно,Нет,После обеда,"Фрукты, овощи",Да,Нет,Нечасто (около 1-го раза в месяц),Никогда,Я с трудом засыпаю,5,Часто с кем-то,15-20,3,0,Начинаю есть меньше,1,"Да, из-за нехватки времени"
Ж,4,7-8,1,4000-7000,Иногда,Да,Иногда,Да,Нет,Нет,Иногда,Да,Иногда,Да,Да,Да,Да,Иногда,Иногда,Нет,Нет,"Утром, До обеда, Перед ужином","Сладости, Фрукты, овощи, Орехи, Бутерброды/сэндвичи, Батончики, хлебцы",Да,Да,Часто (больше 1 раза в неделю),Никогда,"Я с трудом засыпаю, Я просыпаюсь несколько раз за ночь",6,"Часто в одиночестве, В одиночестве во время ужина",15-20,3,1,Начинаю есть больше,1,"Да, из-за нехватки времени"
Ж,3,9-10,1,0-4000,Иногда,Да,Да,Да,Нет,Нет,Иногда,Иногда,Да,Да,Да,Да,Да,Иногда,Нет,Нет,Нет,"Днем, Перед ужином","Сладости, Фрукты, овощи, Орехи, Бутерброды/сэндвичи, Батончики, хлебцы",Да,Нет,Нечасто (около 1-го раза в месяц),Никогда,Хорошо,1,"Часто с кем-то, В одиночестве во время завтрака, В одиночестве во время обеда",21-30,2,0,Начинаю есть меньше,0,"Да, завтрак"
Ж,2,7-8,2,0-4000,Да,Иногда,Нет,Иногда,Иногда,Да,Иногда,Нет,Нет,Да,Да,Да,Да,Иногда,Нет,Я готовлю более изысканно,Нет,"Когда я просыпаюсь, После обеда","Сладости, Фрукты, овощи, Бутерброды/сэндвичи",Да,Да,Часто (больше 1 раза в неделю),Нечасто (около 1-го раза в месяц),"Я с трудом засыпаю, Я просыпаюсь несколько раз за ночь",5,"Часто с кем-то, В одиночестве во время завтрака",15-20,1,1,Начинаю есть меньше,4,"Да, обед"
Ж,2,7-8,1,10000-15000,Да,Нет,Нет,Да,Да,Нет,Да,Иногда,Да,Да,Да,Да,Да,Да,Да,"Да, я больше ем дома",Нет,"До обеда, После ужина","Сладости, Фрукты, овощи, Бутерброды/сэндвичи",Да,Да,Нечасто (около 1-го раза в месяц),Нечасто (около 1-го раза в месяц),Хорошо,7,Часто в одиночестве,15-20,1,0,Начинаю есть больше,1,"Да, завтрак"
Ж,4,7-8,0,4000-7000,Да,Иногда,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Нет,"Перед ужином, После ужина, Я всегда голоден",Бутерброды/сэндвичи,Да,Нет,Часто (больше 1 раза в неделю),Никогда,Хорошо,4,Часто в одиночестве,15-20,1,0,Начинаю есть больше,0,Нет
Ж,3,5-6,0,7000-10000,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Я готовлю более изысканно,Да,"Когда я просыпаюсь, До обеда, Перед ужином","Фрукты, овощи",Да,Да,Часто (больше 1 раза в неделю),Никогда,Хорошо,5,Часто с кем-то,15-20,2,0,Начинаю есть больше,0,Нет
М,4,7-8,5,10000-15000,Иногда,Нет,Нет,Да,Да,Да,Нет,Иногда,Иногда,Да,Иногда,Иногда,Иногда,Нет,Нет,"Да, я ем в ресторанах",Да,"Утром, До обеда, Перед ужином",Бутерброды/сэндвичи,Да,Да,Часто (больше 1 раза в неделю),Никогда,"Я просыпаюсь намного раньше, чем хотелось бы",2,Часто в одиночестве,21-30,3,3,Начинаю есть больше,2,"Да, завтрак, Да, из-за нехватки времени"
Ж,2,9-10,0,10000-15000,Нет,Нет,Нет,Нет,Иногда,Нет,Иногда,Да,Нет,Иногда,Да,Да,Да,Нет,Нет,"Да, я ем в ресторанах",Нет,"Днем, После ужина",Сладости,Да,Да,Никогда,Никогда,Хорошо,3,Часто в одиночестве,31-50,1,0,Начинаю есть меньше,1,"Да, ужин"
