SEX,How many times do you eat a day?,How many hours a day do you sleep?,How many times per week do you eat fastfood?,Average number of steps per day?,Cow's milk,Vegetable drinks (eg soy milk),Low-fat white yogurt,Fresh cheeses,Meat,Processed Meat (es prosciutto),Fish,Eggs,Legumes,Cooked vegetables,Raw vegetables,Fruits,Whole grains food,Nuts,Tofu,Do you eat differently at the weekend?,Do you play a sport (at least 5 hours/week)?,"When are you hungry during the day?","What kind of snacks do you prefer?",Do you ever eat distracted or not at the table?,Do you eat fast?,Do you happen to eat uncontrollably even if you're not hungry?,Do you wake up to eat at night?,"How do you sleep at night?",You like salty or sweet? (where 10 - "I love salt and hate sweet" and 1 - "I am the biggest fan of sweet"),"Do you eat alone or togheter?",Age,How many liters of water do you drink per day?,How many times do you consume alcoholic beverages in a week?,How stress affects on your eating habits?,How many sugary drinks do you consume per day?,"Do you ever miss meals?"
M,1,2-4,0,0-4000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes I eat more at home,Yes,"When I wake Up","Yes for craving",Yes,Yes,Every day,Every day,"Good",1,"Often Together",0-14,0,0,I'm starting to eat more,0,"No"
F,3,5-6,1,0-4000,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes I eat at restaurants,Yes,"When I wake Up","Sweets,Fruits,vegetables",Yes,Yes,Infrequent (1/month),Never,"Good",4,"Often Alone",15-20,1,1,I'm starting to eat less,2,"Yes lunch,I have no time"
F,3,5-6,0,7000-10000,Yes,Yes,No,Sometimes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Yes I eat at restaurants,Yes,"During the morning,In the afternoon","Fruits,vegetables,Sandwiches,Bars,breads",Yes,Yes,Infrequent (1/month),Never,"I wake up several times during the night",8,"Often Together",15-20,3,4,I'm starting to eat less,5,"Yes lunch,Yes dinner,I have no time"
F,3,9-10,3,4000-7000,No,Yes,No,Yes,Yes,No,Yes,Yes,Sometimes,Yes,Yes,Sometimes,Yes,Yes,No,I cook more elaborate,No,"After lunch","Fruits,vegetables",Yes,No,Infrequent (1/month),Never,"I struggle to fall asleep",5,"Often Together",15-20,3,0,I'm starting to eat less,1,"I have no time"
F,4,7-8,1,4000-7000,Sometimes,Yes,Sometimes,Yes,No,No,Sometimes,Yes,Sometimes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,No,No,"During the morning,Before lunch,Before Dinner","Sweets,Fruits,vegetables,Nuts,Sandwiches,Bars,breads",Yes,Yes,Often (>1/week),Never,"I struggle to fall asleep,I wake up several times during the night",6,"Often Alone,Alone at dinner",15-20,3,1,I'm starting to eat more,1,"I have no time"
F,3,9-10,1,0-4000,Sometimes,Yes,Yes,Yes,No,No,Sometimes,Sometimes,Yes,Yes,Yes,Yes,Yes,Sometimes,No,No,No,"In the afternoon,Before Dinner","Sweets,Fruits,vegetables,Nuts,Sandwiches,Bars,breads",Yes,No,Infrequent (1/month),Never,"Good",1,"Often Together,Alone at breakfast,Alone at lunch",21-30,2,0,I'm starting to eat less,0,"Yes breakfast"
F,2,7-8,2,0-4000,Yes,Sometimes,No,Sometimes,Sometimes,Yes,Sometimes,No,No,Yes,Yes,Yes,Yes,Sometimes,No,I cook more elaborate,No,"When I wake Up,After lunch","Sweets,Fruits,vegetables,Sandwiches",Yes,Yes,Often (>1/week),Infrequent (1/month),"I struggle to fall asleep,I wake up several times during the night",5,"Often Together,Alone at breakfast",15-20,1,1,I'm starting to eat less,4,"Yes lunch"
F,2,7-8,1,10000-15000,Yes,No,No,Yes,Yes,No,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes I eat more at home,No,"Before lunch,After Dinner","Sweets,Fruits,vegetables,Sandwiches",Yes,Yes,Infrequent (1/month),Infrequent (1/month),"Good",7,"Often Alone",15-20,1,0,I'm starting to eat more,1,"Yes breakfast"
F,4,7-8,0,4000-7000,Yes,Sometimes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"Before Dinner,After Dinner,I'm always hungry","Sandwiches",Yes,No,Often (>1/week),Never,"Good",4,"Often Alone",15-20,1,0,I'm starting to eat more,0,"No"
F,3,5-6,0,7000-10000,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,I cook more elaborate,Yes,"When I wake Up,Before lunch,Before Dinner","Fruits,vegetables",Yes,Yes,Often (>1/week),Never,"Good",5,"Often Together",15-20,2,0,I'm starting to eat more,0,"No"
